"","indexall","all_ages_y","human_years"
"1","2 months",0.17,2.6
"2","3 months",0.25,8.8
"3","4 months",0.33,13.3
"4","5 months",0.42,17.1
"5","6 months",0.5,19.9
"6","7 months",0.58,22.3
"7","8 months",0.67,24.6
"8","9 months",0.75,26.4
"9","10 months",0.83,28
"10","11 months",0.92,29.7
"11","1 Years",1,31
"12","1.5 Years",1.5,37.5
"13","2 Years",2,42.1
"14","2.5 Years",2.5,45.7
"15","3 Years",3,48.6
"16","3.5 Years",3.5,51
"17","4 Years",4,53.2
"18","4.5 Years",4.5,55.1
"19","5 Years",5,56.8
"20","5.5 Years",5.5,58.3
"21","6 Years",6,59.7
"22","6.5 Years",6.5,61
"23","7 Years",7,62.1
"24","7.5 Years",7.5,63.2
"25","8 Years",8,64.3
"26","8.5 Years",8.5,65.2
"27","9 Years",9,66.2
"28","9.5 Years",9.5,67
"29","10 Years",10,67.8
"30","10.5 Years",10.5,68.6
"31","11 Years",11,69.4
"32","11.5 Years",11.5,70.1
"33","12 Years",12,70.8
"34","12.5 Years",12.5,71.4
"35","13 Years",13,72
"36","13.5 Years",13.5,72.6
"37","14 Years",14,73.2
"38","14.5 Years",14.5,73.8
"39","15 Years",15,74.3
"40","15.5 Years",15.5,74.8
"41","16 Years",16,75.4
"42","16.5 Years",16.5,75.8
"43","17 Years",17,76.3
"44","17.5 Years",17.5,76.8
"45","18 Years",18,77.2
"46","18.5 Years",18.5,77.7
"47","19 Years",19,78.1
"48","19.5 Years",19.5,78.5
"49","20 Years",20,78.9
"50","20.5 Years",20.5,79.3
"51","21 Years",21,79.7
"52","21.5 Years",21.5,80.1
"53","22 Years",22,80.5
"54","22.5 Years",22.5,80.8
"55","23 Years",23,81.2
"56","23.5 Years",23.5,81.5
"57","24 Years",24,81.8
"58","24.5 Years",24.5,82.2
"59","25 Years",25,82.5
"60","25.5 Years",25.5,82.8
"61","26 Years",26,83.1
"62","26.5 Years",26.5,83.4
"63","27 Years",27,83.7
"64","27.5 Years",27.5,84
"65","28 Years",28,84.3
"66","28.5 Years",28.5,84.6
"67","29 Years",29,84.9
"68","29.5 Years",29.5,85.2
"69","30 Years",30,85.4
